RowID,intern_num,maxsal,minsal,city,scale,id_1,c_desc,month_num,day,c_tag,name,industry,c_name,
423,2,180,120,杭州,500-2000人,inn_yakoxolnixcb,专注于电商营销的公司,9,5,"['工作氛围极好', '实习可转正', '各种活动', '周末两天休息']",电商推广助理,互联网/游戏/软件, 思珀特,
424,9,180,150,深圳,150-500人,inn_pnpwiowm4ueq,移动互联网千万级别用户产品,6,5,"['千万粉丝大号', '气氛活跃', '90后', '地铁口附近5A级写字楼', '弹性制上班', '周末双休', '朝九晚六', '前景广阔', '福利待遇优厚']",图片产品内容运营实习生,互联网/游戏/软件,量子云,
425,1,200,150,上海,150-500人,inn_nbmj7pc26mpj,易买工品是一家专注为 小企业提供自动化零部件的零售商,3,4,"['愉悦工作氛围', '扁平化管理', '帅哥美女']",行政实习生,互联网/游戏/软件,易买工品,
426,12,120,80,成都,500-2000人,inn_dvic6wpuo4em,中国领先的数字营销与电商服务专家。,4,5,"['助力于成长', '行业领导者', '锻炼自我']",京东广告投放专员,互联网/游戏/软件,灵狐科技,
427,11,120,120,北京,50-150人,inn_ddwaqj8dztqv,我公司是一家技术密集型和人才密集型创新创业企业,3,3,"['团队旅游', '校园代理', 'HR亲和']",人事实习生,互联网/游戏/软件,职源者,
428,6,250,150,武汉,15-50人,inn_urqqiznqa45h,一家专门从事ERP、供应链、物流系统、物联网应用系统研发及销售的软件公司,12,6,"['竞争力薪酬', '管理灵活', '氛围轻松', '培养新人']",实习生<统合性技术员培养方向>,互联网/游戏/软件,世纪易软,
429,5,150,120,上海,500-2000人,inn_pzrmjkrqfk8s,2018年中国杰出雇主，全球领先的特殊化学品供应商,3,5,"['德资企业', '大公司平台', '职业晋升', '稳定发展', '中国杰出雇主']",数字化转型实习生,化工/能源/环保,朗盛化学,
430,8,180,120,广州,150-500人,inn_pqs1bowiq7yp,Multiable香港万达宝集团是整合型信息化管理咨询解决方案供应商,3,6,[],销售经理,互联网/游戏/软件,Multiable,
431,38,120,100,成都,50-150人,inn_euaezp33kn9h,繁星数据致力于提供快速、高效、安全和高质量的数据采集与标注服务。,3,5,"['人工智能', '大数据']",行政助理,互联网/游戏/软件,繁星数据,
432,8,200,150,宁波,2000人以上,inn_w1trfriykmsn,蔚来不仅仅是一家汽车企业。通过提供高性能的智能电动汽车与用户体验，蔚来致力于为用户创造愉悦的生活,6,4,"['旅游机会', '稳定高速增长', '互联网模式', '公司前景好', '地铁旁']",产品专家实习生,互联网/游戏/软件,蔚来汽车,
433,8,250,150,深圳,50-150人,inn_pigm4tjqx3wh,云锋金融集团是香港老牌证券公司,3,5,"['互联网金融', '弹性上下班时间', '员工Nice', '学习成长空间', '视野卓越', '年轻人的世界', '实习证明', '点心水果', '牛人遍布', '环境舒适']",产品实习生,互联网/游戏/软件,云锋有鱼,
434,1,400,200,杭州,50-150人,inn_2kkshhs3d6lr,中国的企业协同服务平台,3,5,"['这里有梦想', '快乐的氛围', '周末双休']",量化算法实习生,互联网/游戏/软件,光是科技,
